Column1,Column2,Column3,lat,lng
左岸社区公园,四方坪栖凤路左岸春天(雅雀湖地铁站3号口步行390米),开福区,113.00686,28.24329278
湖南省植物园,植物园路111号,雨花区,113.026446,28.10629646
湘江江滩公园,潇湘中路,岳麓区,112.948711,28.16725792
梅溪湖公园,梅溪湖路(近汽车西站),岳麓区,112.8972718,28.19637755
口袋公园,泉塘街道星沙大道与高家坡路西北角,长沙县,113.0785242,28.21699846
沙滩公园,枫林路西湖公园西湖文化园创意厅,岳麓区,112.9388422,28.21310885
滨江休闲公园,福元路大桥西侧(福元大桥西地铁站3号口步行320米),岳麓区,112.9554919,28.25695467
湖南烈士公园一级广场,东风路22号(烈士公园南地铁站1A口步行340米),开福区,112.9873713,28.20976875
火车头文化公园,赤岭路街道殷家冲路,天心区,112.9565361,28.15123551
望城谷山体育公园,金甲冲路西50米,望城区,112.903673,28.2780997
桃花岭景区,梅溪湖路与近湖四路交叉口东南150米,岳麓区,112.8982719,28.17767069
马栏山公园-庆典广场,芒果路与公园景观西路交叉口东100米,开福区,113.0231946,28.23004617
金鹰飞翔体育公园,南二环附近,雨花区,112.9949648,28.14984877
四方社区公园,四方坪街道栖凤路1号,开福区,113.0032503,28.2436356
芙蓉区东屯渡文化公园,东华路与育才街交叉口东南120米,芙蓉区,113.0350853,28.18873603
湘府文化公园,桂花坪街道杉木冲西路(省艺术馆公交站旁),天心区,112.9773677,28.1137395
施家港水上公园,潇湘北路和含光路交叉口向南200米,岳麓区,112.9536541,28.23674847
湘洞社区公园,润泽路龙塘小区(土桥地铁站3号口步行350米),长沙县,113.0471588,28.26715784
同心公园,嘉雨路农科家园(马王堆海鲜水产市场东),芙蓉区,113.0299424,28.19692696
麓谷公园,天顶街道麓龙路209号,岳麓区,112.8902315,28.21742225
乐众体育足球公园,滨河北路与知行路交叉口西约160米,开福区,112.9882048,28.26341781
望龙社区公园,大汉建材批发城内,芙蓉区,113.0720461,28.19775499
岳鞍阁公园,望藕路与北二环辅路交叉口东280米,岳麓区,112.9354125,28.25854668
安沙党建文化公园,黄兴大道与宋水公路交叉口西南140米,长沙县,113.1231227,28.32063186
尖山湖公园,永青路668号,岳麓区,112.8678556,28.24228943
晚安文化公园,云栖路晚安文化公园(北门)附近,岳麓区,112.8963381,28.14555069
龙井公园,开元东路与双塘路交叉口西240米,长沙县,113.1652769,28.25352648
长沙望江公园,湘江大道,天心区,112.95912,28.16394791
花侯新市民公园,长沙大道与京港澳高速交汇处东北角,雨花区,113.0460394,28.17371728
白石湖公园,潇湘北路与银江路交汇处西北角,望城区,112.9385272,28.2851309
花果音乐湿地公园,果园镇花果村,长沙县,113.192489,28.33228177
黄陂塘公园,杜鹃路莱茵城北门,岳麓区,112.9059059,28.23336212
圭塘河长善公园,圭塘河西路与长沙大道交界,雨花区,113.0269708,28.17311156
溪悦荟公园,香樟路867号(雨花区政府地铁站3号口步行130米),雨花区,113.0285763,28.14110121
鹅羊山公园,芙蓉北路,开福区,112.9536912,28.30825097
四方坪清廉主题文化公园,东二环入口与东二环交叉口西北180米,开福区,113.0135462,28.23906118
长沙红星社区公园,新韶路红星国际宾馆旁,雨花区,112.999213,28.1244827
三湘四水广场,东风路22号湖南烈士公园(西南角),开福区,112.9918453,28.21353723
观沙岭公园,岳北社区B区(观沙岭地铁站3号口步行490米),岳麓区,112.9514825,28.23645156
梅溪海洋公园(步步高·梅溪新天地店),东方红路657号步步高梅溪新天地梅溪大街L1层,岳麓区,112.8545812,28.20245671
长沙狮子山公园,万家丽南路(毛竹塘地铁站3号口步行410米),雨花区,113.0278256,28.09424853
燕子岭公园,井湾路,雨花区,113.0221096,28.12818824
临空绿地公园,龙峰大道与思源东路交会处,长沙县,113.1815384,28.21391283
保利活力公园,秀山路与鹅秀路交叉口北20米,开福区,112.9552326,28.32004812
保利·麓谷体育公园,桐梓坡西路408号,岳麓区,112.8789821,28.22442874
洋湖体育公园,洋湖大道680号,岳麓区,112.9118908,28.12534257
五一社区法治公园,高桥街道人民东路五一社区,雨花区,113.0130721,28.18758871
东广济桥社区公园,韶山北路178号,芙蓉区,112.991028,28.19240315
航天航空主题公园,龙峰大道与思源东路交叉口东南角,长沙县,113.1826926,28.21257487
长托公园,花侯路与长托路交叉口东南角,雨花区,113.0572398,28.13704574
月桂社区公园,龙柏路71号,芙蓉区,113.0158755,28.20797429
花桥社区公园,人民东路与沙湾路交叉口西100米,雨花区,113.0402775,28.18766808
南郊广场,南郊公园东面,天心区,112.9657329,28.14536223
新海洋公园,劳动东路268号吉联MALL2层,雨花区,113.0406737,28.15991071
玉湖公园,喻家坡社区,望城区,112.8169309,28.33251146
双拥公园,四方坪街道栖凤路1号,开福区,112.9947321,28.24248048
儿童友好公园,洞井路雅塘冲路交叉口西北角,雨花区,113.0039225,28.14869551
高岭社区公园,高岭小区内,芙蓉区,113.0366763,28.19277444
圭塘河井塘海绵公园,香樟路,雨花区,113.0268576,28.14381488
文艺新村社区公园,解放中路281号三楼,芙蓉区,112.9847871,28.19417911
魅力中央公园,雨花大道万科魅力之城-足球场,雨花区,113.0641826,28.164963
隆平稻作公园,路口镇明月村,长沙县,113.2163518,28.41433632
长沙感官体验公园,远大三路与黄兴大道交叉口东南120米,长沙县,113.1188919,28.21748171
金峰公园,含光路西二环路口公交站,岳麓区,112.9175478,28.23910306
滨江新城茶山公园,观沙岭街道潇湘北路与茶子山中路交汇处,岳麓区,112.953164,28.24385755
毛塘法治文化公园,宋水公路与028县道交叉口西北280米,长沙县,113.0805137,28.32116468
郦城公园,盛世路与知行路交叉口西北340米,开福区,112.9866976,28.26140644
梅岭公园,枫林三路与骑龙路交叉口,岳麓区,112.878483,28.19764086
银杏公园,梅溪湖路与连湖六路交叉口西南200米,岳麓区,112.8821751,28.19124309
马栏山公园树阵广场,马栏山公园(西南角),开福区,113.0207321,28.2276139
圭塘河社区公园,圭塘街道劳动路111号(圭塘地铁站4A口步行220米),雨花区,113.0230207,28.16214741
洋湖国家湿地公园先导牛广场,洋湖湿地公园,岳麓区,112.930724,28.1279688
南郊公园毛泽东首胜广场,新开铺路113号,天心区,112.9553305,28.14353087
鸿海公园,马桥河路中航·山水蓝天,望城区,112.8393194,28.32997233
下柏家塘公园,麓云路下柏家塘小区星舞门大楼附近,岳麓区,112.8823064,28.20045448
曲塘社区公园,树木岭路388号,雨花区,113.015652,28.14990809
文轩公园,栖才路附近,岳麓区,112.8611646,28.21512425
尾巴公园(吾悦店),特立东路长沙松雅湖吾悦广场,长沙县,113.095283,28.25746905
星月公园,普瑞大道与西城路交叉口东北80米,望城区,112.9094746,28.2987427
雷锋公园,高塘岭街道莲湖社区3组61号,望城区,112.8206858,28.36923024
富家湾社区公园,荷花路芙蓉社区(万家丽广场地铁站4A口步行220米),芙蓉区,113.0286616,28.19444614
湘江女神公园,潇湘南路大王山旅游度假区(东北角),岳麓区,112.9166482,28.08436733
红椽公园,望河路与浏阳河大道交叉口西北20米,芙蓉区,113.034252,28.21107769
马栏山公园云艺术广场,马栏山公园(西南角),开福区,113.0198871,28.22616423
山水公园,潇湘南大道东线与连山路交叉口南100米,岳麓区,112.9391576,28.10987669
山体公园,茶子山西路,岳麓区,112.9244744,28.24570231
尖山湖公园南入口广场,青山路与延农路交叉口西北220米,岳麓区,112.8649929,28.24038014
尖山湖公园-西广场,永青路668号尖山湖公园(西北角),岳麓区,112.8665421,28.2453459
动物主题公园,湘江中路海信广场(长沙店)六楼,天心区,112.9643128,28.19315282
仙姑岭公园,环保西路与托子冲路交叉口东北260米,天心区,112.998665,28.07604801
望城区环城绿带城市生态公园,潇湘北路辅路,望城区,112.922544,28.3045197
梅溪湖公园-喷泉广场,环湖路与麓景路辅路交叉口西240米,岳麓区,112.9013658,28.19800107
丰泉古井科普公园,蔡锷南路100号(黄兴广场地铁站2号口步行460米),芙蓉区,112.9746342,28.19217702
儿童福利院雅塘文化公园,雅塘冲路儿童友好公园旁,雨花区,112.9996853,28.14801727
洋湖湿地公园欢动世界,坪塘大道与洋湖路交叉口北行先导牛广场,岳麓区,112.9285434,28.1266129
圭塘河岸滨水公园,雨河路悠游小镇,雨花区,113.0275872,28.13190998
山顶公园,佑母塘路与谷丰北路交叉口东南240米,岳麓区,112.9251251,28.24783944
长沙市青竹湖休闲公园,球场路222号附近,开福区,112.9529097,28.35655902
乐喜湖公园,桐梓坡西路北50米,岳麓区,112.8467137,28.22613268
洋湖湿地公园一期北门广场,福祥路,岳麓区,112.9379222,28.12711767
雷锋文化主题公园,正兴路118号,望城区,112.8360974,28.20815692
宝塔山公园,裕南街街道书院路,天心区,112.964734,28.17260774
远大美宅公园,岳麓大道辅路与双塘路交叉口西南40米,岳麓区,112.9329922,28.22854617
龙王港生态公园,泉水路39号,岳麓区,112.8754348,28.1777746
社区公园,长华社区(西二环南),岳麓区,112.9098818,28.22776907
庆达谷丰路体育文化公园,谷丰北路与郡辉路交叉口东180米,岳麓区,112.9243067,28.24625051
港子河公园,暮云街道新电路33号附近,天心区,112.9923422,28.06766219
桔洲公园,橘子洲风景名胜区内(南侧),岳麓区,112.9550998,28.17311643
桃花井社区公园,博士路长沙玫瑰园(湘江新城地铁站2号口步行420米),望城区,112.9303765,28.28121382
金科湖湘公园,尖山路与安云路交叉口西南280米,岳麓区,112.879983,28.24472234
口袋公园,开元路与蓝田路交叉口东北角,长沙县,113.1614286,28.25180228
梅溪湖公园-风之语广场,环湖路梅溪湖公园(西南角),岳麓区,112.8913203,28.1932189
长沙市七峰公园,金圆路与新巷南路交叉口东南120米,望城区,112.8805648,28.27622369
先锋公园,先锋路与芙蓉南路交叉口北100米,天心区,112.9851113,28.0785665
融城公园,环保西路与中意二路交叉口东60米,天心区,112.9810008,28.07324113
省府景观轴生态文化公园,新姚南路与宜春路交叉口北60米,天心区,112.9784676,28.10317416
铜官窑现代农业公园,湘江大道景观道,望城区,112.8190974,28.4381035
玉润公园,含浦大道与学士路交叉口东南60米,岳麓区,112.9047587,28.13363914
石峰公园,建设北路651号,石峰区,113.1074391,27.86199238
道坡公园,望岳街道道坡小区,岳麓区,112.9261,28.24039128
御庭乡村公园,大托铺街道桂井村柑子园组602号,天心区,112.9421582,28.07146242
中汽公园,学士路与望江路交汇处东北角,岳麓区,112.8769372,28.10784625
茶子山清荷公园,沙坪街道茶子山村清水塘组,开福区,113.0200108,28.37014044
会展党建公园,国展路99号,长沙县,113.077913,28.15426716
南郊公园-艺林科普公园,南郊公园,天心区,112.9598822,28.14351551
尖山湖公园-南广场,青山路与延农路交叉口西北240米,岳麓区,112.8655064,28.24114574
联盟社区公园,花卉大道与G0401长沙绕城高速交叉口西100米,雨花区,113.042647,28.09201018
仲景公园,康里路与康平路交叉口南120米,浏阳市,113.376624,28.22520682
湖南大学英语公园,麓山南路2号湖南大学,岳麓区,112.9397943,28.18175505
探险儿童公园(德思勤城市广场店),[],雨花区,113.0058074,28.11487886
亲子广场,五一大道70号晓园公园,芙蓉区,113.0026701,28.19820596
南二里牌社区公园,回龙山巷摩天一号旁,天心区,112.9793111,28.183258
廉心公园,学堂坡路湖南师范大学,岳麓区,112.9484758,28.19082961
春华镇党建文化公园,319国道与春龙公路交叉口西80米,长沙县,113.2491351,28.27298212
法治文化公园,新港街道芙蓉北路金盆丘安置小区,开福区,112.92864,28.34301653
明照湖公园,荷塘大道辅路,荷塘区,113.2091294,27.90469402
矿山公园,春兰路与白云路交叉口南280米,雨湖区,112.8586307,27.98335159
和平公园,云塘街道建设北路278号,雨湖区,112.899636,27.87461019
洋沙湖国家湿地公园,洋沙湖国际旅游度假区内(南侧),湘阴县,112.8792054,28.61300588
岳华嘉园社区公园,岳华嘉园(银杉路东),岳麓区,112.9479767,28.259665
桂芳公园,普瑞西路88号,望城区,112.8259431,28.29836577
九华湖德文化公园-廉门广场,湖滨路九华湖中华德文化公园(西南角),雨湖区,112.9458045,27.90872631
梅溪湖运动公园,映日路与梧桐路交叉口南200米,岳麓区,112.8716998,28.18121734
